"wrong_parti","true_parti","talare"
"m","s","jan björkman (s)"
"l","c","karin israelsson (c)"
"null","m","bo lundgren (m)"
"null","kd","mats odell (kd)"
"null","m","margaretha af ugglas (m)"
"v","s","hans karlsson (s)"
"null","kd","alf svensson (kd)"
"m","null",""
"null","kd","inger davidson (kd)"
"null","l","birgit friggebo (l)"
"null","s","ingvar carlsson (s)"
"m","s","marita ulvskog (s)"
"s","v","maggi mikaelsson (v)"
"l","mp","gunnar goude (mp)"
"null","c","karin starrin (c)"
"null","c","elving andersson (c)"
"mp","v","alice åström (v)"
"s","m","rune rydén (m)"
"s","l","kerstin heinemann (l)"
"mp","v","per rosengren (v)"
"s","v","jan jennehag (v)"
"v","s","anna lindh (s)"
"s","kd","michael stjernström (kd)"
"null","v","per rosengren (v)"
"s","c","lennart daléus (c)"
"m","mp","birger schlaug (mp)"
"s","l","erling bager (l)"
"m","s","krister örnfjäder (s)"
"null","s","ingela thalén (s)"
"s","c","birgitta carlsson (c)"
"s","m","beatrice ask (m)"
"mp","s","jan nygren (s)"
"s","mp","gudrun lindvall (mp)"
"s","m","ulla löfgren (m)"
"s","kd","inger davidson (kd)"
"s","m","elisabeth fleetwood (m)"
"s","v","britt-marie danestig-olofsson (v)"
"l","kd","alf svensson (kd)"
"l","c","olof johansson (c)"
"v","s","ronny olander (s)"
"s","m","marietta de pourbaix-lundin (m)"
"kd","l","elver jonsson (l)"
"s","mp","eva goës (mp)"
"l","kd","rose-marie frebran (kd)"
"s","m","nils fredrik aurelius (m)"
"s","mp","yvonne ruwaida (mp)"
"s","m","gullan lindblad (m)"
"s","c","kjell ericsson (c)"
"s","v","carlinge wisberg (v)"
"s","mp","mikael johansson (mp)"
"s","kd","mats odell (kd)"
"s","v","mats einarsson (v)"
"s","null","förste vice talmannen"
"l","kd","harald bergström (kd)"
"s","l","lennart kollmats (l)"
"s","kd","kenneth lantz (kd)"
"s","mp","kia andreasson (mp)"
"s","l","eva flyborg (l)"
"s","m","carl-erik skårman (m)"
"kd","mp","matz hammarström (mp)"
"s","m","inger rené (m)"
"c","l","karin pilsäter (l)"
"s","m","lars björkman (m)"
"null","s","majléne westerlund panke (s)"
"s","m","lars hjertén (m)"
"mp","kd","fanny rizell (kd)"
"m","mp","gunnar goude (mp)"
"s","v","kalle larsson (v)"
"s","m","per bill (m)"
"m","mp","ingegerd saarinen (mp)"
"l","kd","chatrine pålsson (kd)"
"l","kd","sven brus (kd)"
"l","v","tanja linderborg (v)"
"s","l","johan pehrson (l)"
"c","l","harald nordlund (l)"
"s","m","göran lennmarker (m)"
"s","null","talmannen"
"v","s","nils-erik söderqvist (s)"
"null","s","lennart nilsson (s)"
"m","l","carl b hamilton (l)"
"s","mp","mona jönsson (mp)"
"s","m","jeppe johnsson (m)"
"m","c","staffan danielsson (c)"
"null","s","margareta israelsson (s)"
